62,63,64,65,66,67,68,69,70,71,72,73,74,75,76;55,56,57,58,59,60
78,79,80,81,82,83,84,85,86,87,88,89,90,91,92;76,77,78,79,80,81,82,83,84,85,86
95,96,97,98,99,100,101,102;58,59,60,61,62,63,64,65,66,67,68
85,86,87,88,89,90,91,92,93,94,95,96;56,57,58,59,60,61,62,63,64,65,66
79,80,81,82,83,84,85,86,87,88,89;91,92,93,94,95,96,97,98
56,57,58,59,60,61,62,63,64,65,66,67;95,96,97,98,99,100
20,25,36,45,89;25,36,77,88,98
71,72,73,74,75,76,77,78,79,80,81,82;85,86,87,88,89
92,93,94,95,96,97,98;62,63,64,65,66,67,68,69,70,71
97,98,99,100,101,102,103,104;82,83,84,85,86,87,88,89,90
9,10,11;11,12,13
89,90,91,92,93,94,95,96,97,98;59,60,61,62,63,64,65,66,67,68,69,70,71,72
68,69,70,71,72,73,74,75;57,58,59,60,61,62
9,10,11;33,34,35
1,2,3,4;3,4,5,6
54,55,56,57,58,59,60,61,62,63,64,65,66;55,56,57,58,59,60,61,62,63,64,65,66,67,68
96,97,98,99,100,101,102,103,104,105,106,107,108,109,110;66,67,68,69,70
54,55,56,57,58,59,60,61;87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
50,51,52,53,54,55,56,57,58,59,60,61,62,63;51,52,53,54,55,56,57
92,93,94,95,96,97,98,99,100,101,102,103,104,105;58,59,60,61,62,63,64,65,66,67,68,69,70
